asana_name,asana_type,pose_type,description,benefits,target_age_group,difficulty_level,duration_secs,repetition,Body_Parts,Focus_Area,Precautions,Pain_Points
Mountain Pose,Hatha,Standing,"Stand tall with feet hip-width apart, arms at sides, shoulders relaxed, crown reaching upward","Improves posture, strengthens thighs, knees, ankles, firms abdomen and buttocks",8-80,Beginner,30,"8-45: 5 reps, 45+: 3 reps","['Ankles/Feet', 'Core/Abdomen', 'Knees', 'Glutes/Buttocks', 'Legs/Thighs']","['Strength Building', 'Posture Improvement']",['Low blood pressure'],"['Poor posture', 'Lower back pain']"
Tree Pose,Hatha,Balance,"Stand on one leg, place other foot on inner thigh or calf, hands in prayer position","Strengthens legs, improves balance, calms mind",10-70,Beginner,20,"8-45: 6 reps each side, 45+: 4 reps each side",['Legs/Thighs'],"['Stress Relief/Calming', 'Balance/Stability', 'Strength Building']",['Ankle injuries'],"['Leg weakness', 'Balance issues']"
Warrior I,Hatha,Standing,"Step one foot back, bend front knee, raise arms overhead, square hips forward","Strengthens legs, opens hips and chest, improves focus",12-75,Beginner,25,"8-45: 8 reps each side, 45+: 5 reps each side","['Chest/Heart', 'Legs/Thighs', 'Hips']","['Meditation/Focus', 'Strength Building']","['Heart conditions', 'High blood pressure']","['Hip tightness', 'Shoulder tension/stiffness', 'Leg weakness']"
Warrior II,Hatha,Standing,"Wide-legged stance, bend one knee, extend arms parallel to ground","Strengthens legs, opens hips, improves stamina",12-75,Beginner,30,"8-45: 8 reps each side, 45+: 5 reps each side","['Legs/Thighs', 'Hips']","['Endurance Building', 'Strength Building']","['Diarrhea', 'Knee problems/injuries']","['Hip tightness', 'Shoulder tension/stiffness', 'Leg weakness']"
Warrior III,Power,Balance,"Stand on one leg, extend other leg back, torso forward, arms extended","Strengthens entire body, improves balance and focus",15-60,Advanced,15,"8-45: 5 reps each side, 45+: 3 reps each side","['Back/Spine', 'Arms/Wrists', 'Legs/Thighs', 'Core/Abdomen']","['Meditation/Focus', 'Balance/Stability', 'Strength Building']","['Balance disorders', 'High blood pressure']","['Core weakness', 'Balance issues']"
Downward Dog,Hatha,Inversion,"Hands and feet on mat, hips lifted high, body forms inverted V-shape","Strengthens arms and shoulders, stretches hamstrings, calms nervous system",10-70,Beginner,30,"8-45: 10 reps, 45+: 6 reps","['Shoulders', 'Arms/Wrists', 'Nervous System', 'Hamstrings']","['Stress Relief/Calming', 'Strength Building', 'Flexibility/Stretching']","['Pregnancy', 'High blood pressure', 'Carpal tunnel']","['Lower back pain', 'Shoulder tension/stiffness', 'Hamstring tightness']"
Upward Dog,Power,Backbend,"Lie prone, press hands down, lift torso and thighs off mat, arch back","Strengthens arms, opens chest, improves spinal flexibility",15-60,Intermediate,15,"8-45: 8 reps, 45+: 5 reps","['Back/Spine', 'Chest/Heart', 'Arms/Wrists']","['Strength Building', 'Flexibility/Stretching']","['Back injuries', 'Pregnancy', 'Carpal tunnel']","['Arm weakness', 'Chest tightness', 'Upper back pain/stiffness', 'Lower back pain']"
Child's Pose,Hatha,Supine,"Kneel, sit back on heels, fold forward with arms extended or at sides","Relieves stress, gently stretches hips, thighs, ankles",5-80,Beginner,60,"8-45: 3 reps, 45+: 2 reps","['Legs/Thighs', 'Ankles/Feet', 'Hips']","['Stress Relief/Calming', 'Flexibility/Stretching']","['Knee problems/injuries', 'Pregnancy']","['Stress/anxiety', 'Hip tightness', 'Lower back pain']"
Cat-Cow Pose,Hatha,Prone,"On hands and knees, alternate between arching and rounding spine","Improves spinal flexibility, relieves back tension",5-80,Beginner,20,"8-45: 10 reps, 45+: 8 reps",['Back/Spine'],['Flexibility/Stretching'],['Generally safe for all'],"['Upper back pain/stiffness', 'Spinal stiffness']"
Cobra Pose,Hatha,Backbend,"Lie prone, press palms down, lift chest, keep pelvis grounded","Strengthens spine, opens chest, reduces stress",12-70,Beginner,15,"8-45: 8 reps, 45+: 5 reps","['Back/Spine', 'Chest/Heart']","['Stress Relief/Calming', 'Strength Building']","['Back injuries', 'Pregnancy', 'Carpal tunnel']",['Chest tightness']
Camel Pose,Power,Backbend,"Kneel, arch back, reach hands to heels, open chest and throat","Opens heart chakra, strengthens back, improves flexibility",18-55,Advanced,20,"8-45: 5 reps, 45+: 3 reps","['Back/Spine', 'Chest/Heart']","['Strength Building', 'Emotional Release', 'Flexibility/Stretching']","['Back injuries', 'High blood pressure']","['Lower back pain', 'Chest tightness', 'Upper back pain/stiffness', 'Hip flexor tightness']"
Bridge Pose,Hatha,Backbend,"Lie supine, knees bent, lift hips, press feet and arms down","Strengthens glutes and hamstrings, opens chest and shoulders",10-75,Beginner,25,"8-45: 8 reps, 45+: 5 reps","['Chest/Heart', 'Shoulders', 'Glutes/Buttocks', 'Hamstrings']",['Strength Building'],['Neck injuries'],"['Hip tightness', 'Chest tightness', 'Lower back pain']"
Wheel Pose,Power,Backbend,"Lie supine, place hands by ears, press up into full backbend","Strengthens entire body, opens chest, energizes",20-50,Advanced,15,"8-45: 3 reps, 45+: 2 reps","['Core/Abdomen', 'Chest/Heart', 'Back/Spine', 'Arms/Wrists', 'Legs/Thighs']","['Strength Building', 'Energy Building']",['Back injuries'],"['Arm weakness', 'Chest tightness', 'Shoulder tension/stiffness']"
Triangle Pose,Hatha,Standing,"Wide-legged forward fold, one hand to ankle, other arm up","Stretches sides, strengthens legs, improves digestion",12-75,Beginner,25,"8-45: 6 reps each side, 45+: 4 reps each side",['Legs/Thighs'],"['Digestion Support', 'Strength Building', 'Flexibility/Stretching']","['Low blood pressure', 'Neck injuries']","['Digestive issues', 'Side body tightness', 'Hamstring tightness']"
Extended Side Angle,Hatha,Standing,"From Warrior II, place forearm on thigh, extend top arm overhead","Strengthens legs, stretches sides, improves stamina",15-70,Intermediate,20,"8-45: 6 reps each side, 45+: 4 reps each side",['Legs/Thighs'],"['Endurance Building', 'Strength Building', 'Flexibility/Stretching']","['Heart conditions', 'High blood pressure']","['Leg weakness', 'Side body tightness']"
Chair Pose,Power,Standing,"Sit back as if in chair, thighs parallel to floor, arms overhead","Strengthens thighs and ankles, tones abdominal organs",15-65,Intermediate,20,"8-45: 8 reps, 45+: 5 reps","['Ankles/Feet', 'Legs/Thighs', 'Core/Abdomen']",['Strength Building'],"['Knee problems/injuries', 'Insomnia']","['Core weakness', 'Poor posture', 'Leg weakness']"
Eagle Pose,Hatha,Balance,"Wrap one leg around other, wrap arms, balance on standing leg","Improves balance, stretches shoulders and outer thighs",15-65,Intermediate,20,"8-45: 5 reps each side, 45+: 3 reps each side","['Shoulders', 'Legs/Thighs']","['Balance/Stability', 'Flexibility/Stretching']","['Ankle injuries', 'Knee problems/injuries']","['IT band tightness', 'Balance issues', 'Shoulder tension/stiffness']"
Forward Fold,Hatha,Forward Bend,"Stand with feet hip-width apart, fold forward from hips","Stretches hamstrings and calves, calms nervous system",10-75,Beginner,30,"8-45: 6 reps, 45+: 4 reps","['Nervous System', 'Hamstrings', 'Calves']","['Stress Relief/Calming', 'Flexibility/Stretching']","['Back injuries', 'Low blood pressure']","['Stress/anxiety', 'Lower back pain', 'Hamstring tightness']"
Wide-Legged Forward Fold,Hatha,Forward Bend,"Stand with legs wide, fold forward, hands on ground","Stretches inner thighs and hamstrings, calms mind",12-70,Beginner,25,"8-45: 5 reps, 45+: 3 reps","['Legs/Thighs', 'Hamstrings']","['Stress Relief/Calming', 'Flexibility/Stretching']",['Back injuries'],"['Thigh tightness', 'Hamstring tightness']"
Pigeon Pose,Hatha,Seated,"One leg bent in front, other extended back, fold forward","Opens hips, releases emotional tension, stretches hip flexors",15-65,Intermediate,45,"8-45: 3 reps each side, 45+: 2 reps each side","['Hip Flexors', 'Hips']","['Emotional Release', 'Flexibility/Stretching']","['Ankle injuries', 'Knee problems/injuries']","['Stress/anxiety', 'Hip tightness', 'Emotional stress', 'Sciatica']"
Seated Forward Fold,Hatha,Seated,"Sit with legs extended, fold forward over legs","Stretches spine and hamstrings, calms nervous system",12-75,Beginner,30,"8-45: 5 reps, 45+: 3 reps","['Back/Spine', 'Nervous System', 'Hamstrings']","['Stress Relief/Calming', 'Flexibility/Stretching']","['Asthma', 'Back injuries']","['Stress/anxiety', 'Lower back pain', 'Upper back pain/stiffness', 'Hamstring tightness']"
Bound Angle Pose,Hatha,Seated,"Sit with soles of feet together, hold feet, fold forward","Opens hips and groins, stimulates abdominal organs",10-75,Beginner,40,"8-45: 4 reps, 45+: 3 reps","['Hips', 'Core/Abdomen']","['Flexibility/Stretching', 'Posture Improvement', 'Relaxation/Restorative', 'Digestion Support', 'Stress Relief/Calming', 'Emotional Release']","['Knee problems/injuries', 'Generally safe for all']","['Stress/anxiety', 'Digestive issues', 'Hip tightness']"
Half Lord of Fishes,Hatha,Twist,"Sit with one leg extended, cross other over, twist toward bent knee","Improves spinal mobility, aids digestion, detoxifies",15-70,Intermediate,25,"8-45: 4 reps each side, 45+: 3 reps each side",['Back/Spine'],"['Digestion Support', 'Detoxification', 'Flexibility/Stretching']","['Back injuries', 'Pregnancy']","['Digestive issues', 'Spinal stiffness', 'Lower back pain']"
Revolved Triangle,Power,Twist,"From triangle pose, twist torso and reach opposite hand to floor","Strengthens legs, improves spinal mobility, challenges balance",18-60,Advanced,20,"8-45: 4 reps each side, 45+: 2 reps each side","['Back/Spine', 'Legs/Thighs']","['Balance/Stability', 'Strength Building', 'Flexibility/Stretching']","['Back injuries', 'Low blood pressure']","['Spinal stiffness', 'Balance issues', 'Hamstring tightness']"
Side Plank,Power,Balance,"From plank, rotate to side, balance on one hand and side of foot","Strengthens core and arms, improves balance",16-60,Intermediate,20,"8-45: 5 reps each side, 45+: 3 reps each side","['Arms/Wrists', 'Core/Abdomen']","['Balance/Stability', 'Strength Building']",['Shoulder injuries'],"['Core weakness', 'Wrist stiffness/pain']"
Plank Pose,Power,Prone,"Hold push-up position, body in straight line","Strengthens core, arms, and shoulders",12-65,Beginner,30,"8-45: 8 reps, 45+: 5 reps","['Shoulders', 'Arms/Wrists', 'Core/Abdomen']",['Strength Building'],"['Pregnancy', 'Carpal tunnel']","['Arm weakness', 'Core weakness', 'Poor posture']"
